review,sentiment
the loan process was smooth,1
the credit card support was quick,1
customer support was not helpful,0
the issue was resolved quickly,1
the loan process was confusing,0
the credit card support was quick,1
the credit card support was delayed,0
the issue was resolved quickly,1
i am happy with the account opening process,1
i am unhappy with the account opening process,0
the mobile banking service is unreliable,0
the mobile banking service is unreliable,0
the staff did not help me,0
i am happy with the account opening process,1
customer support was helpful,1
i really liked the banking app,1
the issue was resolved quickly,1
i did not like the banking app,0
the staff helped me clearly,1
i am happy with the account opening process,1
the staff did not help me,0
the loan process was confusing,0
the issue was resolved quickly,1
the service was poor and slow,0
the transaction experience was good,1
customer support was helpful,1
i really liked the banking app,1
i am unhappy with the account opening process,0
the mobile banking service is unreliable,0
the staff did not help me,0
the mobile banking service is unreliable,0
the transaction experience was good,1
the loan process was confusing,0
the transaction experience was good,1
i am unhappy with the account opening process,0
the issue was not resolved,0
the mobile banking service is reliable,1
the service was poor and slow,0
the credit card support was quick,1
the loan process was confusing,0
the loan process was confusing,0
the credit card support was delayed,0
the credit card support was quick,1
the service was excellent and fast,1
the mobile banking service is unreliable,0
the loan process was smooth,1
the transaction failed many times,0
the issue was resolved quickly,1
i did not like the banking app,0
i did not like the banking app,0
the service was excellent and fast,1
the transaction experience was good,1
the issue was not resolved,0
i am unhappy with the account opening process,0
the mobile banking service is unreliable,0
the staff did not help me,0
the mobile banking service is unreliable,0
customer support was not helpful,0
customer support was not helpful,0
i am happy with the account opening process,1
customer support was not helpful,0
the issue was not resolved,0
the credit card support was quick,1
i am happy with the account opening process,1
the loan process was confusing,0
the service was poor and slow,0
customer support was helpful,1
the credit card support was delayed,0
the credit card support was delayed,0
the credit card support was quick,1
the staff helped me clearly,1
the credit card support was quick,1
the service was poor and slow,0
the loan process was confusing,0
the issue was resolved quickly,1
customer support was helpful,1
customer support was helpful,1
the transaction experience was good,1
the credit card support was quick,1
the staff helped me clearly,1
the loan process was smooth,1
the transaction failed many times,0
the issue was not resolved,0
the transaction experience was good,1
the issue was not resolved,0
the transaction failed many times,0
the staff did not help me,0
customer support was not helpful,0
i am unhappy with the account opening process,0
the service was poor and slow,0
the transaction failed many times,0
i really liked the banking app,1
the staff helped me clearly,1
the transaction experience was good,1
the mobile banking service is unreliable,0
the credit card support was delayed,0
the issue was not resolved,0
the mobile banking service is reliable,1
the transaction failed many times,0
the mobile banking service is reliable,1
the staff helped me clearly,1
the issue was resolved quickly,1
i did not like the banking app,0
the loan process was smooth,1
i am happy with the account opening process,1
i am happy with the account opening process,1
the service was excellent and fast,1
the staff did not help me,0
i really liked the banking app,1
the credit card support was delayed,0
customer support was not helpful,0
customer support was helpful,1
the credit card support was quick,1
the staff helped me clearly,1
i am happy with the account opening process,1
the credit card support was delayed,0
the credit card support was quick,1
customer support was not helpful,0
the mobile banking service is unreliable,0
the credit card support was quick,1
i am unhappy with the account opening process,0
customer support was not helpful,0
the transaction experience was good,1
the mobile banking service is reliable,1
the issue was not resolved,0
the loan process was confusing,0
the staff did not help me,0
i am happy with the account opening process,1
i am unhappy with the account opening process,0
the loan process was smooth,1
the mobile banking service is unreliable,0
customer support was not helpful,0
the staff helped me clearly,1
the mobile banking service is unreliable,0
the mobile banking service is unreliable,0
i did not like the banking app,0
i am unhappy with the account opening process,0
the credit card support was delayed,0
the staff did not help me,0
customer support was helpful,1
i am unhappy with the account opening process,0
the loan process was smooth,1
the mobile banking service is unreliable,0
the service was excellent and fast,1
the service was poor and slow,0
the service was excellent and fast,1
the mobile banking service is reliable,1
the transaction failed many times,0
the issue was resolved quickly,1
the loan process was smooth,1
the issue was resolved quickly,1
the mobile banking service is reliable,1
the loan process was smooth,1
the staff did not help me,0
the service was excellent and fast,1
the credit card support was quick,1
customer support was helpful,1
i am happy with the account opening process,1
the staff did not help me,0
i am happy with the account opening process,1
the loan process was confusing,0
the issue was not resolved,0
customer support was not helpful,0
i am unhappy with the account opening process,0
the staff helped me clearly,1
customer support was helpful,1
the transaction experience was good,1
the transaction failed many times,0
the service was poor and slow,0
i did not like the banking app,0
i am unhappy with the account opening process,0
the staff helped me clearly,1
the mobile banking service is reliable,1
i really liked the banking app,1
the issue was resolved quickly,1
the transaction experience was good,1
the credit card support was delayed,0
the credit card support was quick,1
the loan process was confusing,0
i really liked the banking app,1
the service was excellent and fast,1
the service was excellent and fast,1
the staff helped me clearly,1
customer support was not helpful,0
the service was excellent and fast,1
the issue was not resolved,0
i am unhappy with the account opening process,0
i did not like the banking app,0
the staff did not help me,0
the credit card support was delayed,0
i really liked the banking app,1
the service was poor and slow,0
the credit card support was delayed,0
customer support was helpful,1
customer support was helpful,1
i did not like the banking app,0
the credit card support was delayed,0
the mobile banking service is reliable,1
the mobile banking service is reliable,1
the issue was not resolved,0
the transaction experience was good,1
customer support was helpful,1
customer support was not helpful,0
the transaction experience was good,1
customer support was helpful,1
the issue was resolved quickly,1
i am happy with the account opening process,1
the staff did not help me,0
customer support was helpful,1
i am unhappy with the account opening process,0
the staff helped me clearly,1
the service was poor and slow,0
the staff helped me clearly,1
the service was poor and slow,0
the transaction experience was good,1
the transaction experience was good,1
the transaction experience was good,1
the issue was not resolved,0
the credit card support was delayed,0
the service was excellent and fast,1
the loan process was smooth,1
i am unhappy with the account opening process,0
the credit card support was delayed,0
the loan process was confusing,0
the loan process was smooth,1
i really liked the banking app,1
the service was poor and slow,0
i really liked the banking app,1
the mobile banking service is reliable,1
customer support was not helpful,0
the issue was not resolved,0
the service was excellent and fast,1
i did not like the banking app,0
the staff did not help me,0
the issue was not resolved,0
the transaction failed many times,0
the mobile banking service is reliable,1
the transaction failed many times,0
the loan process was smooth,1
the mobile banking service is reliable,1
the loan process was confusing,0
i really liked the banking app,1
i really liked the banking app,1
the loan process was smooth,1
the mobile banking service is unreliable,0
i am happy with the account opening process,1
the service was poor and slow,0
the service was excellent and fast,1
i did not like the banking app,0
the loan process was smooth,1
i am happy with the account opening process,1
the loan process was confusing,0
the loan process was confusing,0
i really liked the banking app,1
i did not like the banking app,0
the loan process was smooth,1
the issue was resolved quickly,1
the service was excellent and fast,1
i am happy with the account opening process,1
the transaction failed many times,0
i did not like the banking app,0
customer support was not helpful,0
i really liked the banking app,1
the loan process was confusing,0
the staff helped me clearly,1
the credit card support was quick,1
the transaction failed many times,0
the transaction failed many times,0
the mobile banking service is reliable,1
the loan process was smooth,1
the transaction failed many times,0
the service was poor and slow,0
the transaction failed many times,0
the issue was resolved quickly,1
the staff did not help me,0
the mobile banking service is reliable,1
the issue was resolved quickly,1
the staff did not help me,0
the staff helped me clearly,1
i am unhappy with the account opening process,0
customer support was not helpful,0
i really liked the banking app,1
the service was excellent and fast,1
the credit card support was delayed,0
i did not like the banking app,0
the mobile banking service is unreliable,0
the issue was resolved quickly,1
the service was poor and slow,0
i did not like the banking app,0
the issue was not resolved,0
the mobile banking service is reliable,1
the transaction failed many times,0
i really liked the banking app,1
the issue was not resolved,0
the service was excellent and fast,1
the staff helped me clearly,1
i did not like the banking app,0
the credit card support was quick,1
the service was poor and slow,0
customer support was helpful,1
